ID	Percent_Mapped	filesize	type	plate	platePOS	plateCOL	plateROW	fsize.cut	permap.cut
305	99.67402356600276	3568	unknown	4	3	3	1	>3Mb	>90%
306	98.95739324561819	4564	unknown	4	3	3	2	>3Mb	>90%
307	98.62936005293506	4648	unknown	4	3	3	3	>3Mb	>90%
308	99.08278347138378	4748	unknown	4	3	3	4	>3Mb	>90%
309	98.87161366313309	4712	unknown	4	3	3	5	>3Mb	>90%
31	99.43167073234027	4248	unknown	1	4	4	7	>3Mb	>90%
310	99.20062146043202	4504	unknown	4	3	3	6	>3Mb	>90%
311	98.99704391891892	2084	unknown	4	3	3	7	1.5Mb-3Mb	>90%
312	98.98981512232923	3880	unknown	4	3	3	8	>3Mb	>90%
313	99.60528275656621	4444	unknown	4	4	4	1	>3Mb	>90%
314	98.9734494249167	4164	unknown	4	4	4	2	>3Mb	>90%
315	99.04620910591204	4560	unknown	4	4	4	3	>3Mb	>90%
316	98.85985748218528	4652	unknown	4	4	4	4	>3Mb	>90%
317	98.98663216903839	5152	unknown	4	4	4	5	>3Mb	>90%
318	99.17725752508362	5036	unknown	4	4	4	6	>3Mb	>90%
319	99.12339368461282	4636	unknown	4	4	4	7	>3Mb	>90%
32	99.23285476615933	3620	unknown	1	4	4	8	>3Mb	>90%
320	99.0380738436726	3888	unknown	4	4	4	8	>3Mb	>90%
321	99.66387809979086	4420	unknown	4	5	5	1	>3Mb	>90%
322	3.471667996807662	320	"trusted NTC"	4	5	5	2	0-750Kb	0-25%
323	98.93738223566014	5012	unknown	4	5	5	3	>3Mb	>90%
324	99.02150967079363	3732	unknown	4	5	5	4	>3Mb	>90%
325	99.21901337228903	3932	unknown	4	5	5	5	>3Mb	>90%
326	99.21838214521142	4680	unknown	4	5	5	6	>3Mb	>90%
327	99.36969921675859	4592	unknown	4	5	5	7	>3Mb	>90%
328	98.9159553921874	3440	unknown	4	5	5	8	>3Mb	>90%
329	99.67737970871997	3484	unknown	4	6	6	1	>3Mb	>90%
33	99.66495679097925	4772	unknown	1	5	5	1	>3Mb	>90%
330	99.37145075959812	4428	unknown	4	6	6	2	>3Mb	>90%
331	98.73755516781279	4368	unknown	4	6	6	3	>3Mb	>90%
332	99.37341236240475	3904	unknown	4	6	6	4	>3Mb	>90%
333	99.00990099009901	76	unknown	4	6	6	5	0-750Kb	>90%
334	99.33072151485472	3372	unknown	4	6	6	6	>3Mb	>90%
335	99.18638086524638	3272	unknown	4	6	6	7	>3Mb	>90%
336	98.97309662340245	4388	unknown	4	6	6	8	>3Mb	>90%
337	99.67666219582296	4584	unknown	4	7	7	1	>3Mb	>90%
338	99.05260246185054	4768	unknown	4	7	7	2	>3Mb	>90%
339	99.27609427609427	3840	unknown	4	7	7	3	>3Mb	>90%
34	99.09806635809146	5152	unknown	1	5	5	2	>3Mb	>90%
340	99.29271866546439	3936	unknown	4	7	7	4	>3Mb	>90%
341	99.00124435130002	3392	unknown	4	7	7	5	>3Mb	>90%
342	99.27882948477914	3140	unknown	4	7	7	6	>3Mb	>90%
343	99.32092896917017	3228	unknown	4	7	7	7	>3Mb	>90%
344	99.21901861584557	4320	unknown	4	7	7	8	>3Mb	>90%
345	99.78499761108456	5060	unknown	4	8	8	1	>3Mb	>90%
346	99.06628455209393	4684	unknown	4	8	8	2	>3Mb	>90%
347	99.06721691446661	3940	unknown	4	8	8	3	>3Mb	>90%
348	99.1866527632951	4272	unknown	4	8	8	4	>3Mb	>90%
349	99.25749852970006	4576	unknown	4	8	8	5	>3Mb	>90%
35	99.02157120787321	3868	unknown	1	5	5	3	>3Mb	>90%
350	99.12504475474401	4928	unknown	4	8	8	6	>3Mb	>90%
351	99.25907349990881	4792	unknown	4	8	8	7	>3Mb	>90%
352	99.1070004783926	4124	unknown	4	8	8	8	>3Mb	>90%
353	99.66177567769212	4456	unknown	4	9	9	1	>3Mb	>90%
354	99.34348739495799	4488	unknown	4	9	9	2	>3Mb	>90%
355	99.37834394904459	4320	unknown	4	9	9	3	>3Mb	>90%
356	99.24214531173294	3608	unknown	4	9	9	4	>3Mb	>90%
357	99.0342843724316	3800	unknown	4	9	9	5	>3Mb	>90%
358	91.63265306122449	524	"suspicious NTC"	4	9	9	6	0-750Kb	>90%
359	99.2578159208337	4988	unknown	4	9	9	7	>3Mb	>90%
36	7.381615598885793	92	"trusted NTC"	1	5	5	4	0-750Kb	0-25%
360	99.19671298647339	4684	unknown	4	9	9	8	>3Mb	>90%
361	99.76469357874922	4068	unknown	4	10	10	1	>3Mb	>90%
362	98.5508987791983	4544	unknown	4	10	10	2	>3Mb	>90%
363	98.92551755175518	3944	unknown	4	10	10	3	>3Mb	>90%
364	98.98282340311326	4032	unknown	4	10	10	4	>3Mb	>90%
365	99.21290074870417	3508	unknown	4	10	10	5	>3Mb	>90%
366	97.46270519942576	3568	unknown	4	10	10	6	>3Mb	>90%
367	99.24754461928399	4232	unknown	4	10	10	7	>3Mb	>90%
368	98.80406371751245	4428	unknown	4	10	10	8	>3Mb	>90%
369	99.75219749392183	2452	unknown	4	11	11	1	1.5Mb-3Mb	>90%
37	99.2785338165903	3240	unknown	1	5	5	5	>3Mb	>90%
370	95.92376182526434	3232	unknown	4	11	11	2	>3Mb	>90%
371	98.5252808988764	4040	unknown	4	11	11	3	>3Mb	>90%
372	99.43878051171454	4464	unknown	4	11	11	4	>3Mb	>90%
373	99.16465945779737	4356	unknown	4	11	11	5	>3Mb	>90%
374	99.07016060862215	4704	unknown	4	11	11	6	>3Mb	>90%
