size	name
3480	_S193_L001_R2_001.fastq.gz
3480	_S403_L001_R2_001.fastq.gz
3484	_S176_L001_R2_001.fastq.gz
3484	_S329_L001_R2_001.fastq.gz
3488	_S1_L001_R1_001.fastq.gz
3492	_S176_L001_R1_001.fastq.gz
3492	_S569_L001_R2_001.fastq.gz
3492	_S95_L001_R1_001.fastq.gz
3496	_S1_L001_R2_001.fastq.gz
3496	_S428_L001_R1_001.fastq.gz
3496	_S505_L001_R2_001.fastq.gz
3496	_S93_L001_R2_001.fastq.gz
3500	_S485_L001_R2_001.fastq.gz
3500	_S579_L001_R2_001.fastq.gz
3508	_S365_L001_R1_001.fastq.gz
3508	_S449_L001_R2_001.fastq.gz
3508	_S471_L001_R1_001.fastq.gz
3512	_S449_L001_R1_001.fastq.gz
3512	_S651_L001_R1_001.fastq.gz
3516	_S484_L001_R2_001.fastq.gz
3516	_S753_L001_R1_001.fastq.gz
3520	_S147_L001_R2_001.fastq.gz
3520	_S403_L001_R1_001.fastq.gz
3520	_S495_L001_R1_001.fastq.gz
3520	_S516_L001_R2_001.fastq.gz
3520	_S95_L001_R2_001.fastq.gz
3524	_S759_L001_R2_001.fastq.gz
3528	_S181_L001_R2_001.fastq.gz
3532	_S76_L001_R2_001.fastq.gz
3536	_S111_L001_R1_001.fastq.gz
3540	_S270_L001_R1_001.fastq.gz
3544	_S696_L001_R1_001.fastq.gz
3548	_S114_L001_R2_001.fastq.gz
3548	_S200_L001_R2_001.fastq.gz
3548	_S89_L001_R1_001.fastq.gz
3556	_S164_L001_R2_001.fastq.gz
3556	_S47_L001_R2_001.fastq.gz
3564	_S88_L001_R2_001.fastq.gz
3568	_S194_L001_R2_001.fastq.gz
3568	_S305_L001_R2_001.fastq.gz
3568	_S366_L001_R1_001.fastq.gz
3572	_S196_L001_R1_001.fastq.gz
3572	_S228_L001_R2_001.fastq.gz
3576	_S328_L001_R1_001.fastq.gz
3576	_S329_L001_R1_001.fastq.gz
3576	_S637_L001_R1_001.fastq.gz
3580	_S433_L001_R2_001.fastq.gz
3580	_S606_L001_R1_001.fastq.gz
3584	_S433_L001_R1_001.fastq.gz
3584	_S488_L001_R1_001.fastq.gz
3584	_S759_L001_R1_001.fastq.gz
3588	_S651_L001_R2_001.fastq.gz
3592	_S89_L001_R2_001.fastq.gz
3596	_S164_L001_R1_001.fastq.gz
3604	_S452_L001_R2_001.fastq.gz
3604	_S576_L001_R2_001.fastq.gz
3604	_S753_L001_R2_001.fastq.gz
3608	_S100_L001_R1_001.fastq.gz
3608	_S132_L001_R1_001.fastq.gz
3608	_S356_L001_R2_001.fastq.gz
3608	_S75_L001_R1_001.fastq.gz
3616	_S458_L001_R2_001.fastq.gz
3620	_S114_L001_R1_001.fastq.gz
3620	_S196_L001_R2_001.fastq.gz
3620	_S32_L001_R1_001.fastq.gz
3624	_S201_L001_R2_001.fastq.gz
3624	_S76_L001_R1_001.fastq.gz
3636	_S365_L001_R2_001.fastq.gz
3640	_S147_L001_R1_001.fastq.gz
3640	_S194_L001_R1_001.fastq.gz
3640	_S270_L001_R2_001.fastq.gz
3644	_S356_L001_R1_001.fastq.gz
3648	_S637_L001_R2_001.fastq.gz
3652	_S32_L001_R2_001.fastq.gz
3656	_S452_L001_R1_001.fastq.gz
3656	_S97_L001_R1_001.fastq.gz
3664	_S121_L001_R1_001.fastq.gz
