Sample	Error rate: mismatches (NM) / bases mapped (CIGAR)	Non-primary alignments (millions)	Reads Mapped in the bam file (millions)	% Mapped Reads	% Properly Paired Reads	% of Reads that are Ambiguously Placed (MapQ=0)	Total sequences in the bam file (millions)
SORT-128	5.518185	0	0.033999999999999996	99.07337257415934	34.93793344600501	48.80237776094178	0.034318
SORT-129	4.762573	0	0.035294	99.74564775039566	18.624236943251187	63.28849197377345	0.035384
SORT-13	5.266179	0	0.03607	99.21879298013974	27.006656764042468	58.675799086758	0.036354
SORT-130	5.835249	0	0.035732	99.34386120996442	34.68638790035587	48.55705071174377	0.035968
SORT-131	5.721815	0	0.033072	99.32128055739084	36.77097723587002	47.37221454742026	0.033298
SORT-132	6.347161	0	0.031264	99.23819197562214	48.152615540883694	39.753682072117826	0.031504
SORT-133	5.982188	0	0.042194999999999996	99.17967280932682	35.906355772846936	48.22536667920271	0.042544
SORT-134	6.357912000000001	0	0.040702999999999996	99.30952032401308	49.66085980578735	38.43019567657249	0.040986
SORT-135	6.198219	0	0.044173	99.2607073839378	81.63228618938476	36.789357781672734	0.044502
SORT-136	6.369540999999999	0	0.035155	99.3415847179835	48.813157002373686	38.75042387249915	0.035387999999999996
SORT-137	5.007168	0	0.038203999999999995	99.71289867933393	24.236571488228844	57.947486558438165	0.038314
SORT-138	5.552421	0	0.036493	99.22508021099571	31.85056283647833	51.8244602751645	0.036778
SORT-139	5.615988000000001	0	0.035496	98.81409721062302	32.13072768776794	52.85618840821781	0.035921999999999996
SORT-14	6.0948780000000005	0	0.044263	99.33348294434471	44.19210053859965	41.70780969479353	0.044559999999999995
SORT-140	6.4716700000000005	0	0.034406	99.20991926182238	84.47520184544406	33.65340253748558	0.034679999999999996
SORT-141	7.788657000000001	0	0.000416	97.65258215962442	90.14084507042254	24.413145539906104	0.000426
SORT-142	6.042754	0	0.041271999999999996	98.87403574337597	40.71199271716736	43.225049111206935	0.041742
SORT-143	6.078819	0	0.041433	99.08882192567083	40.603625579949295	42.842110297986316	0.041814
SORT-144	5.819642	0	0.038965	99.06691752262789	42.69297264314045	44.89474219465067	0.039332
SORT-145	4.900539	0	0.040056999999999995	99.68395381246266	21.297033645231934	59.32211825602229	0.040184
SORT-146	5.988312	0	0.039237	99.17850462565087	38.49653708103736	45.62711693038774	0.039562
SORT-147	5.413766	0	0.032826	96.83185840707964	82.62536873156343	46.474926253687315	0.0339
SORT-148	6.0138419999999995	0	0.037469999999999996	98.99603698811097	37.03038309114927	46.84544253632761	0.03785
SORT-149	6.2480269999999996	0	0.035095999999999995	99.0572960767711	44.37482359582275	41.19390347163421	0.035429999999999996
SORT-15	5.753394	0	0.044704999999999995	99.33561461203449	38.17438449915563	46.335881254999556	0.045003999999999995
SORT-150	5.931911	0	0.041224	98.92019004655181	38.83476508134569	44.980083505303064	0.041673999999999996
SORT-151	5.858782	0	0.04106	98.75414882870749	43.43162249266439	45.15128192794266	0.041578
SORT-152	5.785716	0	0.04229	99.38895417156287	35.91539365452409	48.62044653349001	0.04255
SORT-153	5.173102	0	0.045272	99.75321699277279	25.414242904988544	56.93856865855808	0.045384
SORT-154	5.865635999999999	0	0.040386	99.26752531707797	37.83305476354341	47.09468095565824	0.040684
SORT-155	6.888249	0	0.035137999999999996	99.49597915958772	87.63166836561332	30.753765998414316	0.035316
SORT-156	6.336599	0	0.037405	99.19119596923893	44.02015380535667	41.49562450278441	0.03771
SORT-157	6.729334	0	0.040053	99.32301740812379	85.99910727570303	30.989932053761844	0.040326
SORT-158	6.452107999999999	0	0.044191999999999995	99.46432590591942	85.25320729237002	34.175106909745665	0.04443
SORT-159	5.807668	0	0.039604	99.25814536340852	38.30576441102757	46.150375939849624	0.0399
SORT-16	4.676048	0	0.021551999999999998	98.9259157256954	16.717157807766455	72.11052969797117	0.021786
SORT-160	5.696136999999999	0	0.041632999999999996	99.01774247253009	34.81425105836465	48.35894020834324	0.042046
SORT-161	4.982743	0	0.033972999999999996	99.75042574431852	22.649597745023193	59.28122614363732	0.034058
SORT-162	5.905228	0	0.03616	99.11737295104435	38.375089085028236	45.521078888218845	0.036482
SORT-163	5.744582	0	0.030632	99.24831518921721	33.60549507516848	48.97291342664593	0.030864
SORT-164	5.820904	0	0.031894	99.08045977011494	32.76794035414725	49.39422180801491	0.032189999999999996
SORT-165	5.926016	0	0.029351	99.01160437187964	34.79287545540413	50.7050330589664	0.029644
SORT-166	5.787586	0	0.034546	99.29864903707963	41.776372520839324	45.37510778959471	0.03479
SORT-167	5.752013	0	0.035341	99.24459421510812	35.34400449311991	48.368435832631285	0.035609999999999996
SORT-168	5.70791	0	0.038571999999999995	98.94315616663246	34.12682126000411	49.26893084342294	0.038984
SORT-169	5.036792999999999	0	0.049944999999999996	99.72644862425622	25.881554251028316	56.03809752006709	0.050081999999999995
SORT-17	4.301197999999999	0	0.034663	99.26403207331043	12.783505154639174	73.96048109965636	0.03492
SORT-170	5.66511	0	0.046292	98.92721289054153	35.11561311279224	49.0639825618669	0.046793999999999995
SORT-171	6.084461	0	0.036653	99.00329533790719	38.171897790502946	45.613419048133544	0.037022
SORT-172	5.440181	0	0.043425	99.32070811033347	31.846667581537897	51.214491560312894	0.043722
SORT-173	5.873962	0	0.038988999999999996	98.70133157814794	35.88172750746798	47.80264290415675	0.039501999999999995
SORT-174	5.4147870000000005	0	0.037159	99.11709789277141	30.482795412109898	52.971459055748205	0.037489999999999996
SORT-175	6.042523	0	0.034744	98.66530357244278	80.7462940875788	37.67819617197705	0.035213999999999995
SORT-176	5.548599	0	0.031285	98.82802628253728	32.33510235026535	51.45943896891585	0.031656
SORT-177	4.657303	0	0.037488	99.58030069595706	20.793709823088776	62.55379057535993	0.037646
SORT-178	5.034508	0	0.019403999999999998	81.65979294672165	21.075667031394662	49.478158404174735	0.023762
SORT-179	4.555663	0	0.0027559999999999998	91.98931909212284	44.65954606141522	46.99599465954606	0.002996
SORT-18	6.119576	0	0.043761999999999995	99.48622351550422	45.73065381467673	40.61562244248431	0.043988
SORT-180	5.578804	0	0.03768	99.10052075114407	30.792698963757825	50.65488401451791	0.038022
SORT-181	6.386521	0	0.030056999999999997	98.98241454258053	42.45537772508727	41.73088322465916	0.030365999999999997
SORT-182	5.058546	0	0.036855	98.14390711546656	73.62590541116319	54.81998295696634	0.037551999999999995
